gene,normal_n,normal_mean,normal_sd,normal_sd_used
HIST1H2BB,113,0.06893274336283185,0.24279353495249456,0.24279353495249456
HIST1H2BC,113,5.091895575221237,1.0796230210446294,1.0796230210446294
HIST1H2BL,113,0.6233734513274335,0.6367233310946784,0.6367233310946784
HIST1H2BM,113,0.07467964601769912,0.23543075914135259,0.23543075914135259
TPTEP1,113,10.548437168141593,0.4464637517670489,0.4464637517670489
RP11-314D7.3,113,0.0,0.0,1e-08
HIST1H2BH,113,1.8409530973451322,1.0838470505293696,1.0838470505293696
HIST1H2BI,113,0.08381415929203538,0.28491523171289057,0.28491523171289057
HIST1H2BJ,113,3.757077876106194,0.8521050122589806,0.8521050122589806
HIST1H2BK,113,7.718587610619466,0.7019385027414061,0.7019385027414061
TRAPPC12-AS1,113,3.4002477876106187,0.889084104178619,0.889084104178619
HENMT1,113,8.466651327433627,0.35627506105211243,0.35627506105211243
RP11-128D14.1,113,0.04186283185840708,0.18001804135513066,0.18001804135513066
TNFAIP6,113,7.612272566371682,1.307762616841655,1.307762616841655
TNFAIP1,113,11.55062389380531,0.2757329415376201,0.2757329415376201
TNFAIP3,113,10.483852212389378,0.6535053825466038,0.6535053825466038
TNFAIP2,113,11.569773451327436,0.6914899249108121,0.6914899249108121
RN7SL333P,113,1.185442477876106,0.8427359120538497,0.8427359120538497
SLIT1-AS1,113,0.006541592920353982,0.06953808659091551,0.06953808659091551
AC090644.1,113,0.0,0.0,1e-08
RNPC3,113,9.591933628318582,0.702010654122782,0.702010654122782
XXbac-BPG300A18.13,113,0.3630194690265487,1.1944375262364535,1.1944375262364535
DTX3L,113,11.19441858407079,0.46678693107942587,0.46678693107942587
RN7SL165P,113,0.2086185840707965,0.4471355570159649,0.4471355570159649
CTC-265N9.1,113,0.10970265486725665,0.30273465705494385,0.30273465705494385
AC084082.3,113,0.7703946902654868,0.9310172253509204,0.9310172253509204
RP11-587P21.2,113,0.05301504424778761,0.2153477255432474,0.2153477255432474
RP11-179D22.1,113,0.058606194690265484,0.22049886349042458,0.22049886349042458
MIR6775,113,0.0,0.0,1e-08
SDCBP,113,12.96052743362832,0.6577385864307812,0.6577385864307812
RNU6-801P,113,0.0,0.0,1e-08
RP11-197N18.7,113,0.7015743362831857,0.6542955940740994,0.6542955940740994
RP11-387H17.4,113,2.4049982300884953,1.2641601505532594,1.2641601505532594
AL161626.1,113,0.0,0.0,1e-08
CCAT1,113,0.4220805309734514,0.6639029437536149,0.6639029437536149
RP4-803A2.2,113,1.0207469026548672,0.8031489653534744,0.8031489653534744
ATP5A1P10,113,0.15326725663716814,0.39939792175278344,0.39939792175278344
LMBR1,113,10.72088672566372,0.34662957443904024,0.34662957443904024
COX6A1P2,113,3.7785548672566382,0.7972371735508053,0.7972371735508053
DEFB106A,113,0.0,0.0,1e-08
DEFB106B,113,0.0,0.0,1e-08
MIR6771,113,0.0,0.0,1e-08
AC074011.2,113,0.6187336283185841,0.7201381236077735,0.7201381236077735
LINC01611,113,0.2886221238938053,0.48642748114891426,0.48642748114891426
RP3-393E18.3,113,0.050601769911504425,0.2205270541316469,0.2205270541316469
RP11-364B6.1,113,0.5794539823008849,0.7042544405047134,0.7042544405047134
RP3-393E18.1,113,1.1369424778761068,0.7459596912948195,0.7459596912948195
RP4-808O4.2,113,0.005299115044247788,0.05633036559880981,0.05633036559880981
RP11-511P7.4,113,0.18259734513274337,0.3785811046007788,0.3785811046007788
RPL13P12,113,7.261292035398236,0.9235621123575973,0.9235621123575973
COL26A1,113,3.3801707964601775,1.5177555596576418,1.5177555596576418
OR13D1,113,0.06805132743362832,0.22719457838847087,0.22719457838847087
RP11-1112J20.1,113,0.0,0.0,1e-08
FAM83A-AS1,113,0.7624327433628318,0.7899309066126423,0.7899309066126423
ARL17B,113,6.92825663716814,0.5235873160017115,0.5235873160017115
ARL17A,113,8.928598230088495,0.6726572756854369,0.6726572756854369
AC131254.1,113,0.0,0.0,1e-08
CTD-2555O16.4,113,6.076360176991149,0.4348543133583901,0.4348543133583901
ZBTB11-AS1,113,6.542665486725666,0.34590845294102834,0.34590845294102834
SHPK,113,9.484965486725661,0.39144095654250693,0.39144095654250693
CTD-2555O16.1,113,0.06552300884955752,0.2252657264245502,0.2252657264245502
TSC22D1-AS1,113,3.993535398230088,0.6876063729292511,0.6876063729292511
CH507-338C24.1,113,3.670461946902655,1.7887330868881244,1.7887330868881244
RP11-550C4.6,113,0.0,0.0,1e-08
LL22NC01-81G9.3,113,0.02053362831858407,0.1252650843572908,0.1252650843572908
RP11-550C4.4,113,0.007841592920353982,0.08335727614747054,0.08335727614747054
ANKRD34B,113,1.5810911504424783,1.0970898533618645,1.0970898533618645
SORCS3-AS1,113,0.017113274336283187,0.13071260698872983,0.13071260698872983
TOMM70A,113,11.932030973451328,0.35501640532507334,0.35501640532507334
CH507-338C24.3,113,3.428920353982301,0.96558756345917,0.96558756345917
RN7SL868P,113,0.05287964601769912,0.23856833707979025,0.23856833707979025
AC003006.1,113,0.0,0.0,1e-08
CH507-338C24.2,113,0.9832769911504424,0.7487930234489809,0.7487930234489809
AC007271.3,113,0.0,0.0,1e-08
RP11-503L19.1,113,0.006585840707964602,0.0700084470251073,0.0700084470251073
BMS1P22,113,1.6493442477876101,0.9483622061723467,0.9483622061723467
RP11-872D17.4,113,1.004674336283186,0.8074017907747093,0.8074017907747093
MCCD1P1,113,0.07374601769911504,0.23657227906203812,0.23657227906203812
RP11-872D17.8,113,5.462962831858406,0.7838105181914972,0.7838105181914972
IGHV3-79,113,0.014547787610619468,0.11282585118648336,0.11282585118648336
NXT2,113,9.335944247787614,0.43657584166402563,0.43657584166402563
MIR5188,113,0.0,0.0,1e-08
NXT1,113,8.795821238938053,0.4671449255950081,0.4671449255950081
PRMT5-AS1,113,2.5544495575221235,0.9948122637071398,0.9948122637071398
CSE1L,113,11.722576991150438,0.298474684559694,0.298474684559694
RNU6-1032P,113,0.0,0.0,1e-08
RP11-325O24.2,113,0.014983185840707965,0.11224392196609677,0.11224392196609677
RPL7P57,113,1.4969477876106199,0.9261275877369073,0.9261275877369073
CTD-2308N23.2,113,0.1723203539823009,0.3823678810478417,0.3823678810478417
IGHVIII-22-2,113,0.0,0.0,1e-08
RPL7P55,113,0.0,0.0,1e-08
RP11-560G2.1,113,0.10915663716814161,0.3134474001430663,0.3134474001430663
GRIK1-AS1,113,4.612134513274336,2.096420097101328,2.096420097101328
WDR86-AS1,113,6.320398230088494,0.8753611958563876,0.8753611958563876
RP11-101P17.15,113,0.5007274336283185,0.5815233515836702,0.5815233515836702
RPL7P54,113,0.0,0.0,1e-08
RFPL2,113,1.0469831858407082,0.9036014750413496,0.9036014750413496
CTD-2246P4.1,113,1.7087044247787613,0.7997295451755394,0.7997295451755394
RP11-132A1.4,113,3.7779637168141584,1.4379141454391215,1.4379141454391215
RP11-132A1.6,113,1.426466371681416,1.1909544678841946,1.1909544678841946
RP11-132A1.3,113,0.9345230088495576,1.0812856123787529,1.0812856123787529
RP11-172C16.5,113,0.011275221238938052,0.08451546617861204,0.08451546617861204
RPL7P50,113,0.4445637168141593,0.55458272715715,0.55458272715715
RP11-307N16.7,113,0.01725840707964602,0.13499636088062295,0.13499636088062295
ARHGEF10L,113,10.6758203539823,0.48309581517084976,0.48309581517084976
DNASE2,113,10.809807079646019,0.34368684815146505,0.34368684815146505
RFTN1,113,10.900449557522123,1.1238648780566403,1.1238648780566403
RP11-307N16.6,113,1.333670796460177,1.4294697897348299,1.4294697897348299
CTD-2396E7.10,113,0.26730176991150445,0.45880448955922015,0.45880448955922015
SYNDIG1L,113,3.3444637168141593,0.8569835209557027,0.8569835209557027
RP11-6N17.9,113,0.1403212389380531,0.4251427418802435,0.4251427418802435
LINC00562,113,3.4430628318584064,0.5824554540285664,0.5824554540285664
LINC00563,113,0.35899380530973457,0.5636447097246358,0.5636447097246358
AC026700.1,113,0.0,0.0,1e-08
