sample,tumor_expression,normal_mean,normal_sd_used,z_score,two_sided_gaussian_p,DEG_label,abs_z_ge_threshold,MPL_GISTIC,cis_SCNA_event,DEG_if_cis_SCNA_excluded
TCGA-A7-A4SD-01,1.3849,3.06646460176991,0.673992692165813,-2.494930021223759,0.012598197278539976,0,0,1,0,0
TCGA-AR-A24V-01,2.6656,3.06646460176991,0.673992692165813,-0.5947610507196583,0.5520032063595792,0,0,0,0,0
TCGA-AR-A24X-01,2.9652,3.06646460176991,0.673992692165813,-0.15024584531399882,0.8805706570478234,0,0,0,0,0
TCGA-BH-A0AV-01,2.3039,3.06646460176991,0.673992692165813,-1.1314137536409772,0.25788098533291115,0,0,0,0,0
TCGA-BH-A0E1-01,2.2185,3.06646460176991,0.673992692165813,-1.2581213589201605,0.20834786992424398,0,0,0,0,0
TCGA-C8-A130-01,1.1836,3.06646460176991,0.673992692165813,-2.7935979479532627,0.0052125240669869235,0,0,0,0,0
TCGA-C8-A134-01,3.1481,3.06646460176991,0.673992692165813,0.121122082151606,0.9035943389131834,0,0,1,0,0
TCGA-D8-A13Y-01,2.2063,3.06646460176991,0.673992692165813,-1.2762224453886153,0.20187689640382978,0,0,1,0,0
TCGA-E2-A14T-01,0.9613,3.06646460176991,0.673992692165813,-3.123423482538303,0.001787603391552725,1,1,2,1,0
TCGA-E2-A1L8-01,1.7143,3.06646460176991,0.673992692165813,-2.0062006865754802,0.044834840660221024,0,0,-1,0,0
TCGA-E9-A243-01,0.5187,3.06646460176991,0.673992692165813,-3.7801071604840475,0.00015676087487332798,1,1,-1,0,1
TCGA-EW-A1PH-01,1.819,3.06646460176991,0.673992692165813,-1.850857755981446,0.0641900194900567,0,0,-1,0,0
TCGA-EW-A2FW-01,1.1397,3.06646460176991,0.673992692165813,-2.8587321853274563,0.004253377107752335,1,1,-1,0,1
TCGA-GM-A2DI-01,1.7598,3.06646460176991,0.673992692165813,-1.9386925362218166,0.0525387880396999,0,0,0,0,0
TCGA-LD-A7W5-01,1.0835,3.06646460176991,0.673992692165813,-2.9421158787313217,0.0032597792095561376,1,1,1,0,1
TCGA-OL-A5RY-01,0.7994,3.06646460176991,0.673992692165813,-3.363633802148371,0.0007692353790072651,1,1,0,0,1
TCGA-A2-A0T7-01,1.9962,3.06646460176991,0.673992692165813,-1.5879468935052012,0.11229834838348383,0,0,0,0,0
TCGA-A7-A6VV-01,3.882,3.06646460176991,0.673992692165813,1.2100062919220125,0.22627647855888353,0,0,1,0,0
TCGA-AC-A7VB-01,1.5984,3.06646460176991,0.673992692165813,-2.1781610080258003,0.029394051876574772,0,0,0,0,0
TCGA-AO-A12E-01,3.1713,3.06646460176991,0.673992692165813,0.1555438203539136,0.8763926106437901,0,0,0,0,0
TCGA-AO-A1KR-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,1,0,1
TCGA-AR-A1AH-01,2.1449,3.06646460176991,0.673992692165813,-1.3673213559757569,0.1715246006603786,0,0,1,0,0
TCGA-AR-A251-01,2.8787,3.06646460176991,0.673992692165813,-0.2785855157665675,0.7805629295607516,0,0,0,0,0
TCGA-B6-A0RH-01,2.6289,3.06646460176991,0.673992692165813,-0.6492126796862399,0.5162009171117266,0,0,0,0,0
TCGA-B6-A40C-01,2.0647,3.06646460176991,0.673992692165813,-1.4863137440716638,0.13719615298753546,0,0,0,0,0
TCGA-BH-A0BA-01,1.4564,3.06646460176991,0.673992692165813,-2.3888457849537166,0.0169013951637895,0,0,-1,0,0
