gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
UBE2T,84,0.10783055198973042,2,0.0025673940949935813,85,0.10911424903722722,False
C2CD4D,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
S100A3,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
S100A4,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
S100A6,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
SPRR2F,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
SPRR3,84,0.10783055198973042,1,0.0012836970474967907,85,0.10911424903722722,False
FCER1A,83,0.10654685494223363,4,0.005134788189987163,85,0.10911424903722722,False
CD1D,83,0.10654685494223363,3,0.0038510911424903724,85,0.10911424903722722,False
DKK4,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
ELF3,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
HLX,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
MARC2,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
SLC39A1,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
VDAC3,83,0.10654685494223363,2,0.0025673940949935813,85,0.10911424903722722,False
INTS3,82,0.10526315789473684,4,0.005134788189987163,85,0.10911424903722722,False
SHISA4,82,0.10526315789473684,4,0.005134788189987163,85,0.10911424903722722,False
CD1A,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
CD1C,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
IPO9,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
MSTO1,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
OR10K2,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
RALYL,82,0.10526315789473684,3,0.0038510911424903724,85,0.10911424903722722,False
AIM2,81,0.10397946084724005,4,0.005134788189987163,85,0.10911424903722722,False
LPGAT1,81,0.10397946084724005,4,0.005134788189987163,85,0.10911424903722722,False
MNDA,81,0.10397946084724005,4,0.005134788189987163,85,0.10911424903722722,False
CPT1A,80,0.10269576379974327,6,0.007702182284980745,85,0.10911424903722722,False
KIAA0907,79,0.10141206675224647,6,0.007702182284980745,85,0.10911424903722722,False
ZNF281,79,0.10141206675224647,6,0.007702182284980745,85,0.10911424903722722,False
C1orf143,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
LINC00210,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
MIR486,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
OR10J4,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
RN7SL44P,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
RRP15,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
S100A2,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
S100A5,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SNORA31|ENSG00000252920.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SNORD112|ENSG00000238966.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR1A,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR1B,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR2A,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR2D,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR2E,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
SPRR4,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
TGFB2,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
U3|ENSG00000212610.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
U3|ENSG00000252669.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
snoU13|ENSG00000238571.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
snoU13|ENSG00000238805.1,84,0.10783055198973042,0,0.0,84,0.10783055198973042,False
OR10T2,83,0.10654685494223363,2,0.0025673940949935813,84,0.10783055198973042,False
TPD52,83,0.10654685494223363,2,0.0025673940949935813,84,0.10783055198973042,False
CA2,83,0.10654685494223363,1,0.0012836970474967907,84,0.10783055198973042,False
CHTOP,83,0.10654685494223363,1,0.0012836970474967907,84,0.10783055198973042,False
MGST3,83,0.10654685494223363,1,0.0012836970474967907,84,0.10783055198973042,False
S100A16,83,0.10654685494223363,1,0.0012836970474967907,84,0.10783055198973042,False
SNAPIN,83,0.10654685494223363,1,0.0012836970474967907,84,0.10783055198973042,False
CA4,82,0.10526315789473684,2,0.0025673940949935813,84,0.10783055198973042,False
OR10R2,82,0.10526315789473684,2,0.0025673940949935813,84,0.10783055198973042,False
RGS5,82,0.10526315789473684,2,0.0025673940949935813,84,0.10783055198973042,False
RNPEP,82,0.10526315789473684,2,0.0025673940949935813,84,0.10783055198973042,False
SLC27A3,82,0.10526315789473684,2,0.0025673940949935813,84,0.10783055198973042,False
FCRL1,81,0.10397946084724005,4,0.005134788189987163,84,0.10783055198973042,False
NUF2,81,0.10397946084724005,3,0.0038510911424903724,84,0.10783055198973042,False
PPP2R5A,81,0.10397946084724005,3,0.0038510911424903724,84,0.10783055198973042,False
ZNF704,81,0.10397946084724005,3,0.0038510911424903724,84,0.10783055198973042,False
OR6K2,80,0.10269576379974327,5,0.006418485237483954,84,0.10783055198973042,False
KIF21B,79,0.10141206675224647,6,0.007702182284980745,84,0.10783055198973042,False
FCRL3,79,0.10141206675224647,5,0.006418485237483954,84,0.10783055198973042,False
MAEL,79,0.10141206675224647,5,0.006418485237483954,84,0.10783055198973042,False
GPATCH4,78,0.10012836970474968,6,0.007702182284980745,84,0.10783055198973042,False
SMG5,76,0.0975609756097561,8,0.010269576379974325,84,0.10783055198973042,False
MED13,74,0.09499358151476252,11,0.014120667522464698,84,0.10783055198973042,False
LRRC52,83,0.10654685494223363,1,0.0012836970474967907,83,0.10654685494223363,False
C1orf115,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
HDAC1P2,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
JTB,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
MIR4737,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
MIR5708,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
RNA5SP76,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
RNU6ATAC35P,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
RPS27,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
